District,Crop,Season,Rainfall_mm,Temperature_C,Fertilizer_kg_ha,Pesticide_kg_ha,Yield_kg_ha
Pune,Rice,Kharif,850,28,120,2.5,2800
Pune,Wheat,Rabi,300,22,110,1.8,3200
Pune,Sugarcane,Kharif,900,30,180,3.0,65000
Nashik,Grapes,Rabi,600,26,150,2.2,12000
Nashik,Onion,Rabi,400,24,100,1.5,18000
Nashik,Wheat,Rabi,350,21,115,1.9,3100
Nagpur,Orange,Rabi,700,27,130,2.0,9500
Nagpur,Rice,Kharif,900,29,125,2.6,2700
Nagpur,Soybean,Kharif,780,28,90,1.8,1800
Aurangabad,Cotton,Kharif,650,31,140,3.5,1500
Aurangabad,Sorghum,Kharif,500,30,80,1.2,2200
Aurangabad,Wheat,Rabi,320,22,105,1.7,2900
Kolhapur,Sugarcane,Kharif,1200,29,200,3.2,72000
Kolhapur,Rice,Kharif,1100,28,130,2.8,3100
Kolhapur,Soybean,Kharif,850,27,95,1.9,1950
Solapur,Sorghum,Kharif,450,32,75,1.1,2000
Solapur,Cotton,Kharif,500,31,130,3.2,1400
Solapur,Onion,Rabi,350,25,95,1.4,16000
Amravati,Cotton,Kharif,700,30,145,3.6,1600
Amravati,Soybean,Kharif,800,28,88,1.7,1850
Amravati,Rice,Kharif,870,29,118,2.4,2600
Latur,Soybean,Kharif,750,29,85,1.6,1750
Latur,Cotton,Kharif,620,31,135,3.3,1450
Latur,Tur,Kharif,680,30,60,1.0,1100
Satara,Rice,Kharif,950,27,125,2.5,2900
Satara,Wheat,Rabi,330,21,112,1.8,3050
Satara,Sugarcane,Kharif,1000,28,185,3.1,68000
Sangli,Sugarcane,Kharif,750,29,175,2.9,64000
Sangli,Grapes,Rabi,550,25,145,2.1,11500
Sangli,Onion,Rabi,380,24,98,1.4,17000
Jalgaon,Banana,Kharif,650,30,160,2.5,35000
Jalgaon,Cotton,Kharif,600,31,138,3.4,1480
Jalgaon,Wheat,Rabi,310,22,108,1.7,2950
Ahmednagar,Onion,Rabi,420,24,102,1.5,17500
Ahmednagar,Sugarcane,Kharif,800,29,172,3.0,63000
Ahmednagar,Wheat,Rabi,340,22,113,1.8,3000
Osmanabad,Tur,Kharif,700,30,62,1.1,1150
Osmanabad,Soybean,Kharif,770,29,87,1.7,1800
Osmanabad,Cotton,Kharif,640,31,133,3.3,1420
Nanded,Soybean,Kharif,760,29,86,1.6,1780
Nanded,Cotton,Kharif,660,31,136,3.4,1460
Nanded,Rice,Kharif,860,28,120,2.5,2650
Wardha,Cotton,Kharif,720,30,142,3.5,1550
Wardha,Soybean,Kharif,810,28,91,1.8,1870
Wardha,Orange,Rabi,680,27,128,1.9,9200
Yavatmal,Cotton,Kharif,690,31,140,3.5,1520
Yavatmal,Soybean,Kharif,790,28,89,1.7,1820
Yavatmal,Tur,Kharif,710,30,61,1.0,1080
Buldana,Cotton,Kharif,670,31,137,3.4,1490
Buldana,Soybean,Kharif,780,28,88,1.7,1810
Buldana,Wheat,Rabi,315,22,109,1.8,2980
Pune,Rice,Kharif,820,27,118,2.4,2750
Pune,Wheat,Rabi,280,21,108,1.7,3150
Nashik,Grapes,Rabi,580,25,148,2.1,11800
Nashik,Onion,Rabi,380,23,98,1.4,17200
Nagpur,Orange,Rabi,680,26,128,1.9,9300
Kolhapur,Sugarcane,Kharif,1150,28,195,3.1,70000
Solapur,Sorghum,Kharif,430,32,73,1.1,1950
Amravati,Cotton,Kharif,680,30,143,3.5,1580
Latur,Soybean,Kharif,730,29,83,1.6,1720
Satara,Rice,Kharif,920,27,123,2.4,2850
Jalgaon,Banana,Kharif,630,30,158,2.4,34000
Ahmednagar,Onion,Rabi,400,23,100,1.5,17200
